dataset,experiment,seed,features,graph_layers,pooling,perturbation,explanation,clean_macro_f1,perturbed_macro_f1,delta_macro_f1,clean_auc,perturbed_auc,delta_auc
gossipcop,bert_profile_graph_mean_pool,42,bert profile,2,mean,edge_drop_0.25,edge_drop_0.25,0.9624799346196926,0.9643259378174658,-0.0018460031977731717,0.9870816324483717,0.9877837176413948,-0.000702085193023172
gossipcop,bert_profile_graph_mean_pool,42,bert profile,2,mean,edge_drop_0.5,edge_drop_0.5,0.9624799346196926,0.9634162653825575,-0.0009363307628649231,0.9870816324483717,0.9874895105128899,-0.00040787806451825226
gossipcop,bert_profile_graph_mean_pool,42,bert profile,2,mean,zero_bert,occlude_bert,0.9624799346196926,0.32924586143470264,0.6332340731849899,0.9870816324483717,0.7151807535045753,0.27190087894379633
gossipcop,bert_profile_graph_mean_pool,42,bert profile,2,mean,noise_bert,noise_bert,0.9624799346196926,0.9624799346196926,0.0,0.9870816324483717,0.9867707090057471,0.0003109234426245111
gossipcop,bert_profile_graph_mean_pool,42,bert profile,2,mean,zero_profile,occlude_profile,0.9624799346196926,0.32924586143470264,0.6332340731849899,0.9870816324483717,0.49417436452931873,0.4929072679190529
gossipcop,bert_profile_graph_mean_pool,42,bert profile,2,mean,noise_profile,noise_profile,0.9624799346196926,0.9615623996145197,0.000917535005172887,0.9870816324483717,0.9872554821152155,-0.0001738496668438616
gossipcop,bert_profile_graph_mean_pool,43,bert profile,2,mean,edge_drop_0.25,edge_drop_0.25,0.9560655803540055,0.9652483573805026,-0.009182777026497169,0.9844504846059463,0.9836949072077403,0.0007555773982059755
gossipcop,bert_profile_graph_mean_pool,43,bert profile,2,mean,edge_drop_0.5,edge_drop_0.5,0.9560655803540055,0.9588588104237719,-0.0027932300697663948,0.9844504846059463,0.9819564105393017,0.0024940740666445915
gossipcop,bert_profile_graph_mean_pool,43,bert profile,2,mean,zero_bert,occlude_bert,0.9560655803540055,0.37193908028355893,0.5841265000704465,0.9844504846059463,0.7207004804268677,0.26375000417907857
gossipcop,bert_profile_graph_mean_pool,43,bert profile,2,mean,noise_bert,noise_bert,0.9560655803540055,0.9542349795354222,0.0018306008185832168,0.9844504846059463,0.9844003356635874,5.014894235888523e-05
gossipcop,bert_profile_graph_mean_pool,43,bert profile,2,mean,zero_profile,occlude_profile,0.9560655803540055,0.32924586143470264,0.6268197189193028,0.9844504846059463,0.7139036271058378,0.27054685750010854
gossipcop,bert_profile_graph_mean_pool,43,bert profile,2,mean,noise_profile,noise_profile,0.9560655803540055,0.9579016757682836,-0.0018360954142780939,0.9844504846059463,0.9844170519777071,3.3432628239182804e-05
gossipcop,bert_profile_graph_mean_pool,44,bert profile,2,mean,edge_drop_0.25,edge_drop_0.25,0.9634129619782418,0.9643259378174658,-0.0009129758392240062,0.985346479042757,0.9852027187413284,0.00014376030142859708
gossipcop,bert_profile_graph_mean_pool,44,bert profile,2,mean,edge_drop_0.5,edge_drop_0.5,0.9634129619782418,0.9634162653825575,-3.3034043157575965e-06,0.985346479042757,0.9872454523267438,-0.0018989732839868045
gossipcop,bert_profile_graph_mean_pool,44,bert profile,2,mean,zero_bert,occlude_bert,0.9634129619782418,0.32924586143470264,0.6341671005435392,0.985346479042757,0.8164799454379508,0.1688665336048062
gossipcop,bert_profile_graph_mean_pool,44,bert profile,2,mean,noise_bert,noise_bert,0.9634129619782418,0.9634129619782418,0.0,0.985346479042757,0.9855805074404314,-0.00023402839767439065
gossipcop,bert_profile_graph_mean_pool,44,bert profile,2,mean,zero_profile,occlude_profile,0.9634129619782418,0.32924586143470264,0.6341671005435392,0.985346479042757,0.30113269744474425,0.6842137815980127
gossipcop,bert_profile_graph_mean_pool,44,bert profile,2,mean,noise_profile,noise_profile,0.9634129619782418,0.9634129619782418,0.0,0.985346479042757,0.9854233740877071,-7.689504495012045e-05
gossipcop,bert_profile_graph_root_pool,42,bert profile,2,root,edge_drop_0.25,edge_drop_0.25,0.9542741544480298,0.9469322895758062,0.007341864872223547,0.9819580821707137,0.9791580995556803,0.0027999826150333362
gossipcop,bert_profile_graph_root_pool,42,bert profile,2,root,edge_drop_0.5,edge_drop_0.5,0.9542741544480298,0.9313381651850605,0.022935989262969247,0.9819580821707137,0.9740161613324908,0.007941920838222871
gossipcop,bert_profile_graph_root_pool,42,bert profile,2,root,zero_bert,occlude_bert,0.9542741544480298,0.7812951788363347,0.17297897561169506,0.9819580821707137,0.8935755861575546,0.08838249601315906
gossipcop,bert_profile_graph_root_pool,42,bert profile,2,root,noise_bert,noise_bert,0.9542741544480298,0.9515244037531759,0.0027497506948538364,0.9819580821707137,0.981902918334119,5.516383659465163e-05
gossipcop,bert_profile_graph_root_pool,42,bert profile,2,root,zero_profile,occlude_profile,0.9542741544480298,0.32924586143470264,0.6250282930133271,0.9819580821707137,0.7911329983383985,0.19082508383231522
gossipcop,bert_profile_graph_root_pool,42,bert profile,2,root,noise_profile,noise_profile,0.9542741544480298,0.9533614699236901,0.0009126845243396797,0.9819580821707137,0.9817892473981056,0.0001688347726080952
gossipcop,bert_profile_graph_root_pool,43,bert profile,2,root,edge_drop_0.25,edge_drop_0.25,0.9396658912241296,0.9295948515430745,0.01007103968105505,0.9752498253145174,0.9676405591272745,0.007609266187242891
gossipcop,bert_profile_graph_root_pool,43,bert profile,2,root,edge_drop_0.5,edge_drop_0.5,0.9396658912241296,0.9121911087477802,0.02747478247634938,0.9752498253145174,0.9602552915492345,0.014994533765282925
gossipcop,bert_profile_graph_root_pool,43,bert profile,2,root,zero_bert,occlude_bert,0.9396658912241296,0.7895496188712818,0.15011627235284775,0.9752498253145174,0.89344352727601,0.08180629803850747
gossipcop,bert_profile_graph_root_pool,43,bert profile,2,root,noise_bert,noise_bert,0.9396658912241296,0.9396658912241296,0.0,0.9752498253145174,0.9754103019300655,-0.00016047661554807746
gossipcop,bert_profile_graph_root_pool,43,bert profile,2,root,zero_profile,occlude_profile,0.9396658912241296,0.391977259710231,0.5476886315138986,0.9752498253145174,0.925087509904416,0.05016231541010141
gossipcop,bert_profile_graph_root_pool,43,bert profile,2,root,noise_profile,noise_profile,0.9396658912241296,0.9387527104545208,0.000913180769608779,0.9752498253145174,0.9749840359200158,0.0002657893945016143
gossipcop,bert_profile_graph_root_pool,44,bert profile,2,root,edge_drop_0.25,edge_drop_0.25,0.9487870529817932,0.9341151278919986,0.014671925089794646,0.9774630653039528,0.9689344018401318,0.008528663463820974
gossipcop,bert_profile_graph_root_pool,44,bert profile,2,root,edge_drop_0.5,edge_drop_0.5,0.9487870529817932,0.9221598038550946,0.02662724912669867,0.9774630653039528,0.9658820028818925,0.011581062422060251
gossipcop,bert_profile_graph_root_pool,44,bert profile,2,root,zero_bert,occlude_bert,0.9487870529817932,0.7552469233669095,0.19354012961488376,0.9774630653039528,0.8806488604488664,0.0968142048550864
gossipcop,bert_profile_graph_root_pool,44,bert profile,2,root,noise_bert,noise_bert,0.9487870529817932,0.9487827715355805,4.28144621267279e-06,0.9774630653039528,0.9775967958169095,-0.00013373051295673122
gossipcop,bert_profile_graph_root_pool,44,bert profile,2,root,zero_profile,occlude_profile,0.9487870529817932,0.32924586143470264,0.6195411915470905,0.9774630653039528,0.48645811393171057,0.4910049513722422
gossipcop,bert_profile_graph_root_pool,44,bert profile,2,root,noise_profile,noise_profile,0.9487870529817932,0.9469580191597144,0.0018290338220787739,0.9774630653039528,0.9770150680855473,0.00044799721840549367
gossipcop,bert_profile_no_graph_mean_pool,42,bert profile,0,mean,zero_bert,occlude_bert,0.9597030468836332,0.33737129012719563,0.6223317567564375,0.987656673654086,0.8343279540234497,0.15332871963063632
gossipcop,bert_profile_no_graph_mean_pool,42,bert profile,0,mean,noise_bert,noise_bert,0.9597030468836332,0.9597030468836332,0.0,0.987656673654086,0.9875229431411292,0.00013373051295684224
gossipcop,bert_profile_no_graph_mean_pool,42,bert profile,0,mean,zero_profile,occlude_profile,0.9597030468836332,0.47816870658019595,0.4815343403034372,0.987656673654086,0.44017398339735686,0.5474826902567291
gossipcop,bert_profile_no_graph_mean_pool,42,bert profile,0,mean,noise_profile,noise_profile,0.9597030468836332,0.9615407794294897,-0.0018377325458565075,0.987656673654086,0.9875831218719596,7.355178212642421e-05
gossipcop,bert_profile_no_graph_mean_pool,43,bert profile,0,mean,zero_bert,occlude_bert,0.9597542581760659,0.33737129012719563,0.6223829680488702,0.983624698688438,0.6154545667298543,0.3681701319585837
gossipcop,bert_profile_no_graph_mean_pool,43,bert profile,0,mean,noise_bert,noise_bert,0.9597542581760659,0.9597542581760659,0.0,0.983624698688438,0.9836347284769097,-1.0029788471643819e-05
gossipcop,bert_profile_no_graph_mean_pool,43,bert profile,0,mean,zero_profile,occlude_profile,0.9597542581760659,0.5046718323827187,0.4550824257933471,0.983624698688438,0.5391496076681076,0.44447509102033045
gossipcop,bert_profile_no_graph_mean_pool,43,bert profile,0,mean,noise_profile,noise_profile,0.9597542581760659,0.9597542581760659,0.0,0.983624698688438,0.9839924575990692,-0.00036775891063112187
gossipcop,bert_profile_no_graph_mean_pool,44,bert profile,0,mean,zero_bert,occlude_bert,0.968002794428191,0.3319720029940513,0.6360307914341398,0.9881715361289697,0.8724495083732018,0.1157220277557679
gossipcop,bert_profile_no_graph_mean_pool,44,bert profile,0,mean,noise_bert,noise_bert,0.968002794428191,0.968002794428191,0.0,0.9881715361289697,0.9882283715969763,-5.683546800661077e-05
gossipcop,bert_profile_no_graph_mean_pool,44,bert profile,0,mean,zero_profile,occlude_profile,0.968002794428191,0.37312767828358506,0.594875116144606,0.9881715361289697,0.4351306714274729,0.5530408647014968
gossipcop,bert_profile_no_graph_mean_pool,44,bert profile,0,mean,noise_profile,noise_profile,0.968002794428191,0.9680040778297255,-1.2834015344909133e-06,0.9881715361289697,0.9879375077312952,0.00023402839767450168
gossipcop,bert_profile_no_graph_root_pool,42,bert profile,0,root,zero_bert,occlude_bert,0.865629702538462,0.7570432971695464,0.10858640536891562,0.9410348735745162,0.9044261456525882,0.03660872792192804
gossipcop,bert_profile_no_graph_root_pool,42,bert profile,0,root,noise_bert,noise_bert,0.865629702538462,0.8665443437341247,-0.0009146411956626466,0.9410348735745162,0.941255528920895,-0.00022065534637882855
gossipcop,bert_profile_no_graph_root_pool,42,bert profile,0,root,zero_profile,occlude_profile,0.865629702538462,0.32924586143470264,0.5363838411037594,0.9410348735745162,0.7255047491048413,0.2155301244696749
gossipcop,bert_profile_no_graph_root_pool,42,bert profile,0,root,noise_profile,noise_profile,0.865629702538462,0.8592091188661586,0.00642058367230347,0.9410348735745162,0.9295908849282368,0.01144398864627938
gossipcop,bert_profile_no_graph_root_pool,43,bert profile,0,root,zero_bert,occlude_bert,0.8454527140608556,0.7292532277404422,0.11619948632041344,0.9283538776833863,0.8874824896609596,0.040871388022426736
gossipcop,bert_profile_no_graph_root_pool,43,bert profile,0,root,noise_bert,noise_bert,0.8454527140608556,0.8417820936272948,0.0036706204335608117,0.9283538776833863,0.9279292833047486,0.00042459437863773264
gossipcop,bert_profile_no_graph_root_pool,43,bert profile,0,root,zero_profile,occlude_profile,0.8454527140608556,0.32924586143470264,0.516206852626153,0.9283538776833863,0.7258357321244094,0.20251814555897685
gossipcop,bert_profile_no_graph_root_pool,43,bert profile,0,root,noise_profile,noise_profile,0.8454527140608556,0.8436896051256213,0.0017631089352343476,0.9283538776833863,0.9231317011524227,0.005222176530963574
gossipcop,bert_profile_no_graph_root_pool,44,bert profile,0,root,zero_bert,occlude_bert,0.8509774688683289,0.766970481731858,0.08400698713647092,0.931098696461825,0.8776232075932185,0.053475488868606424
gossipcop,bert_profile_no_graph_root_pool,44,bert profile,0,root,noise_bert,noise_bert,0.8509774688683289,0.8509605298898848,1.6938978444125397e-05,0.931098696461825,0.9321585107770076,-0.00105981431518265
gossipcop,bert_profile_no_graph_root_pool,44,bert profile,0,root,zero_profile,occlude_profile,0.8509774688683289,0.32924586143470264,0.5217316074336262,0.931098696461825,0.6051924214918307,0.32590627496999425
gossipcop,bert_profile_no_graph_root_pool,44,bert profile,0,root,noise_profile,noise_profile,0.8509774688683289,0.8389480904026632,0.012029378465665763,0.931098696461825,0.9207011490794326,0.010397547382392403
