dataset,experiment,features,graph_layers,pooling,explanation,n_seeds,seeds,clean_macro_f1_mean,clean_macro_f1_std,perturbed_macro_f1_mean,perturbed_macro_f1_std,delta_macro_f1_mean,delta_macro_f1_std,clean_auc_mean,clean_auc_std,perturbed_auc_mean,perturbed_auc_std,delta_auc_mean,delta_auc_std
gossipcop,bert_profile_graph_mean_pool,bert profile,2,mean,edge_drop_0.25,3,42 43 44,0.9606528256506466,0.003999968696329711,0.9646334110051448,0.0005325591830251005,-0.003980585354498116,0.004529319337065177,0.985626198699025,0.0013376909421656104,0.9855604478634878,0.002067745217434009,6.575083553713353e-05,0.0007319557124879358
gossipcop,bert_profile_graph_mean_pool,bert profile,2,mean,edge_drop_0.5,3,42 43 44,0.9606528256506466,0.003999968696329711,0.9618971137296289,0.002631247847274506,-0.0012442880789823585,0.0014202292001859484,0.985626198699025,0.0013376909421656104,0.9855637911263118,0.003126465596197908,6.240757271317825e-05,0.0022339634490434286
gossipcop,bert_profile_graph_mean_pool,bert profile,2,mean,noise_bert,3,42 43 44,0.9606528256506466,0.003999968696329711,0.9600426253777855,0.005051158053920912,0.0006102002728610723,0.0010568978753877694,0.985626198699025,0.0013376909421656104,0.9855838507032553,0.001185190207671368,4.234799576966856e-05,0.00027255965977571916
gossipcop,bert_profile_graph_mean_pool,bert profile,2,mean,noise_profile,3,42 43 44,0.9606528256506466,0.003999968696329711,0.9609590124536816,0.002804750607704196,-0.00030618680303506896,0.0014021172884235017,0.985626198699025,0.0013376909421656104,0.9856986360602099,0.0014390963402457092,-7.243736118493309e-05,0.00010371302074540297
gossipcop,bert_profile_graph_mean_pool,bert profile,2,mean,occlude_bert,3,42 43 44,0.9606528256506466,0.003999968696329711,0.3434769343843214,0.02464894139495879,0.6171758912663252,0.028625414037645257,0.985626198699025,0.0013376909421656104,0.750787059789798,0.05695861010339115,0.23483913890922703,0.057279120784516246
gossipcop,bert_profile_graph_mean_pool,bert profile,2,mean,occlude_profile,3,42 43 44,0.9606528256506466,0.003999968696329711,0.32924586143470264,0.0,0.631406964215944,0.0039999686963297495,0.985626198699025,0.0013376909421656104,0.5030702296933003,0.2065292047292166,0.4825559690057247,0.2070276384086195
gossipcop,bert_profile_graph_root_pool,bert profile,2,root,edge_drop_0.25,3,42 43 44,0.9475756995513175,0.007379083374975011,0.9368807563369598,0.008993509598948938,0.010694943214357747,0.003704644033163687,0.9782236575963946,0.0034181944047504756,0.9719110201743623,0.006309407809830339,0.006312637422032401,0.0030765858809555474
gossipcop,bert_profile_graph_root_pool,bert profile,2,root,edge_drop_0.5,3,42 43 44,0.9475756995513175,0.007379083374975011,0.9218963592626451,0.009576246385879363,0.02567934028867243,0.0024133087934125994,0.9782236575963946,0.0034181944047504756,0.9667178185878726,0.006918404817492709,0.011505839008522015,0.003526908163844347
gossipcop,bert_profile_graph_root_pool,bert profile,2,root,noise_bert,3,42 43 44,0.9475756995513175,0.007379083374975011,0.9466576888376287,0.006208305904611828,0.0009180107136888364,0.0015863348012459992,0.9782236575963946,0.0034181944047504756,0.978303338693698,0.003303470761199749,-7.968109730338568e-05,0.0001175423568311919
gossipcop,bert_profile_graph_root_pool,bert profile,2,root,noise_profile,3,42 43 44,0.9475756995513175,0.007379083374975011,0.9463573998459751,0.007322876550716825,0.001218299705342411,0.0005289113182511326,0.9782236575963946,0.0034181944047504756,0.9779294504678896,0.0034935364848867165,0.00029420712850506775,0.00014173423542078545
gossipcop,bert_profile_graph_root_pool,bert profile,2,root,occlude_bert,3,42 43 44,0.9475756995513175,0.007379083374975011,0.775363907024842,0.0179040140385551,0.17221179252647553,0.021722091802888244,0.9782236575963946,0.0034181944047504756,0.8892226579608103,0.0074254200365306494,0.08900099963558432,0.007523046377764393
gossipcop,bert_profile_graph_root_pool,bert profile,2,root,occlude_profile,3,42 43 44,0.9475756995513175,0.007379083374975011,0.3501563275265454,0.03621798968101793,0.597419372024772,0.04315538187115332,0.9782236575963946,0.0034181944047504756,0.7342262073915083,0.2247837269349138,0.24399745020488628,0.2251800009542507
gossipcop,bert_profile_no_graph_mean_pool,bert profile,0,mean,noise_bert,3,42 43 44,0.9624866998292967,0.00477714667632068,0.9624866998292967,0.00477714667632068,0.0,0.0,0.9864843028238313,0.002489833870036171,0.986462014405005,0.0024737757812672285,2.2288418826195883e-05,9.930860067159535e-05
gossipcop,bert_profile_no_graph_mean_pool,bert profile,0,mean,noise_profile,3,42 43 44,0.9624866998292967,0.00477714667632068,0.9630997051450937,0.0043402267359616085,-0.0006130053157969995,0.0010606450880557554,0.9864843028238313,0.002489833870036171,0.9865043624007747,0.002182577978892752,-2.005957694339866e-05,0.0003116236608789621
gossipcop,bert_profile_no_graph_mean_pool,bert profile,0,mean,occlude_bert,3,42 43 44,0.9624866998292967,0.00477714667632068,0.33557152774948085,0.0031172798797529785,0.6269151720798158,0.007894399458401655,0.9864843028238313,0.002489833870036171,0.7740773430421686,0.13868742589103075,0.21240695978166266,0.13619908286550866
gossipcop,bert_profile_no_graph_mean_pool,bert profile,0,mean,occlude_profile,3,42 43 44,0.9624866998292967,0.00477714667632068,0.45198940574883323,0.06956998608184708,0.5104972940804634,0.0742606126255928,0.9864843028238313,0.002489833870036171,0.47148475416431246,0.05865371299989402,0.5149995486595188,0.06113916641373083
gossipcop,bert_profile_no_graph_root_pool,bert profile,0,root,noise_bert,3,42 43 44,0.8540199618225489,0.010426902154461983,0.8530956557504348,0.012518439576025076,0.0009243060721140969,0.0024235598474379705,0.9334958159065758,0.006671697716624716,0.9337811076675504,0.006809685826627038,-0.000285291760974582,0.0007443122275908339
gossipcop,bert_profile_no_graph_root_pool,bert profile,0,root,noise_profile,3,42 43 44,0.8540199618225489,0.010426902154461983,0.8472822714648144,0.010597535428967483,0.006737690357734527,0.005140475659442901,0.9334958159065758,0.006671697716624716,0.9244745783866973,0.004594490212757968,0.009021237519878452,0.00333142734091748
gossipcop,bert_profile_no_graph_root_pool,bert profile,0,root,occlude_bert,3,42 43 44,0.8540199618225489,0.010426902154461983,0.7510890022139489,0.01955090876345479,0.10293095960859999,0.01682490121777655,0.9334958159065758,0.006671697716624716,0.8898439476355887,0.01355661222348917,0.04365186827098707,0.008770416695777593
gossipcop,bert_profile_no_graph_root_pool,bert profile,0,root,occlude_profile,3,42 43 44,0.8540199618225489,0.010426902154461983,0.32924586143470264,0.0,0.5247741003878462,0.010426902154461983,0.9334958159065758,0.006671697716624716,0.6855109675736938,0.06955809816957394,0.247984848332882,0.06779483347324679
